Werk;Satznr;Typ;Besetzung;Tonart;Takt;Jahr;Zeit;Saison;Jahrzehnt;A;AATB;AATT;AATTBB;AB;AT;ATB;ATTB;B;BB;BBB;BS;S;S S STB;SA;SA TB;SAATTBB;SAB;SAT;SAT B;SATB;SATBB;SATT;SATTB;SB;SS;SSAB;SSAT;SSATB;SSATBB;SSATTB;SSB;SSSAB;SSSATB;SSSTB;SSTB;ST;STB;T;TB;TT;basso continuo;bassoon;chalumeau;clarinet;clarino;flute;flute d'amore;horn;oboe;oboe d'amore;organ;recorder;strings;timpani;trombone;trumpet;viola;viola d'amore;violetta;violins;violoncello;violone;2er;3er;4er;6er;9er;12er;Sonstiges
1101/12;1;aria;(B,ob(2),str,bc);F;3(/8);1712;1. Advent;Advent;1710;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;x;;;;;
1101/12;2;choral;(SATB,ob(2),str,bc);F;C (allabreve);1712;1. Advent;Advent;1710;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;x;;x;;;;
1101/12;3;aria;(B,str,bc);d;3/2;1712;1. Advent;Advent;1710;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1101/12;4;coro;(SATB,ob(2),str,bc);B;C+3(/2) (adagio+allegro);1712;1. Advent;Advent;1710;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;x;x;x;;;;
1101/12;5;aria;(S,ob(2),str,bc);g;3/4;1712;1. Advent;Advent;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;x;;;;;
1101/12;6;arioso;(TB,bc);d;C;1712;1. Advent;Advent;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1101/12;7;coro;(SATB,ob(2),str,bc);F;C;1712;1. Advent;Advent;1710;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;;x;;;;
1101/14;1;coro;(SSATB,ob(2),hn(2),str,bc);F;C;1714;1. Advent;Advent;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;x;x;;;;x;;;;;;;;;;;;x;;;;
1101/14;2;rec;(B,bc);;;1714;1. Advent;Advent;1710;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/14;3;aria;(SS,ob(2),str,bc);C;C;1714;1. Advent;Advent;1710;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;;x;;;;
