Saison,12/4 (affettuoso),12/8,2(/2),2(/2) (vivace),2(/4),2/4,2/4 (allegro),2/4 (andante),2/4 (dolcemente),2/4 (vivace),3,3/2,3/4-like,4/2,4/4,6/4,6/4 (affettuoso),6/4 (allegro),6/4 (andante),6/4 (giusto),6/4 (largo e giusto),6/4 (largo),6/4 (pastorale),6/4 (sostentato),6/4 (tempo giusto),6/4 (vivace e tempo giusto),6/4 (vivace),6/8,9/8,alla_breve,c (adagio),c (affettuoso),c (alla francese),c (alla minima),c (allegro moderato),c (allegro molto),c (allegro spirituoso/vivace),c (allegro),c (allegro/andante),c (allegro/vivace),c (andante e giusto),c (andante),c (andante/allegro),c (andante/sostentato),c (andante/vivace),c (giusto),c (grave),c (largo (e vivace)),c (largo a tempo),c (largo e giusto),c (largo e piano),c (largo e staccato),c (largo e vivace),c (largo piano),c (largo sostentato),c (largo),"c (largo, e giusto, e sostentato, e staccato)",c (largo/adagio),c (largo/sostentato),c (moderato),c (molto adagio),c (molto allegro),c (poco allegro),c (poco largo),c (presto),"c (presto,alla minima)",c (presto/allegro),c (sostentato e staccato),c (sostentato),c (spirituoso),c (tempo giusto),c (tombeau),c (un poco allegro),"c (un poco allegro,sostentato)",c (un poco andante),c (un poco largo),c (vivace e giusto),c (vivace e sostentato),c (vivace),"c (vivace, allegro)",c (vivace/allegro),c(4/2),"c,24/16",mixed,part,unknown
#Nv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Advent,0.0,0.05008635578583765,0.0,0.0,0.0,0.008635578583765112,0.0034542314335060447,0.0,0.0,0.0034542314335060447,0.18307426597582038,0.012089810017271158,0.010362694300518135,0.0,0.18652849740932642,0.0069084628670120895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017271157167530224,0.0,0.0017271157167530224,0.024179620034542316,0.0017271157167530224,0.008635578583765112,0.0017271157167530224,0.0,0.0,0.0,0.0,0.0,0.0,0.037996545768566495,0.0,0.0,0.0,0.0051813471502590676,0.0,0.0,0.0017271157167530224,0.0,0.0017271157167530224,0.0,0.0,0.0017271157167530224,0.0,0.0,0.0,0.0,0.0017271157167530224,0.013816925734024179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017271157167530224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017271157167530224,0.0,0.017271157167530225,0.0,0.0,0.0034542314335060447,0.0,0.03281519861830743,0.0,0.3747841105354059
Epiphanias,0.0,0.03987730061349693,0.0,0.0,0.0,0.012269938650306749,0.0015337423312883436,0.0,0.0,0.0015337423312883436,0.17638036809815952,0.01687116564417178,0.0015337423312883436,0.0,0.22699386503067484,0.012269938650306749,0.0,0.0015337423312883436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003067484662576687,0.01687116564417178,0.004601226993865031,0.004601226993865031,0.0015337423312883436,0.004601226993865031,0.0,0.0,0.0015337423312883436,0.0,0.0,0.023006134969325152,0.0015337423312883436,0.0,0.0,0.003067484662576687,0.0,0.0,0.0,0.0,0.003067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027607361963190184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003067484662576687,0.0,0.0,0.0015337423312883436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015337423312883436,0.013803680981595092,0.0,0.0015337423312883436,0.0,0.0,0.013803680981595092,0.0015337423312883436,0.3773006134969325
Fastenzeit,0.0,0.044444444444444446,0.0,0.0,0.00130718954248366,0.00261437908496732,0.00130718954248366,0.0,0.0,0.0,0.1450980392156863,0.018300653594771243,0.009150326797385621,0.0,0.19084967320261437,0.01045751633986928,0.0,0.00130718954248366,0.0,0.0,0.00130718954248366,0.00130718954248366,0.0,0.0,0.0,0.0,0.00261437908496732,0.02483660130718954,0.00261437908496732,0.011764705882352941,0.006535947712418301,0.00130718954248366,0.0,0.0,0.0,0.0,0.00130718954248366,0.0196078431372549,0.0,0.00130718954248366,0.0,0.00522875816993464,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,0.00261437908496732,0.0,0.0,0.0,0.0,0.0,0.026143790849673203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,0.0,0.00261437908496732,0.0,0.00130718954248366,0.0,0.0,0.00130718954248366,0.00130718954248366,0.0,0.0,0.0,0.026143790849673203,0.0,0.0,0.00130718954248366,0.0,0.0196078431372549,0.0,0.40522875816993464
Karwoche,0.0,0.03535353535353535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14646464646464646,0.025252525252525252,0.0,0.0,0.2676767676767677,0.0025252525252525255,0.0025252525252525255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.0025252525252525255,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0025252525252525255,0.0,0.0,0.0,0.0,0.0025252525252525255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06313131313131314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025252525252525255,0.0,0.0,0.0,0.0,0.0,0.0,0.0025252525252525255,0.0025252525252525255,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.03535353535353535,0.0,0.3813131313131313
Marienfeste,0.0,0.04155124653739612,0.0,0.0,0.0,0.002770083102493075,0.002770083102493075,0.0,0.0,0.0,0.15789473684210525,0.00554016620498615,0.002770083102493075,0.0,0.23545706371191136,0.019390581717451522,0.0,0.0,0.002770083102493075,0.0,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.002770083102493075,0.01662049861495845,0.002770083102493075,0.002770083102493075,0.002770083102493075,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.019390581717451522,0.0,0.0,0.0,0.00554016620498615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002770083102493075,0.0,0.0,0.002770083102493075,0.0,0.0,0.024930747922437674,0.0,0.0,0.0,0.0,0.0,0.002770083102493075,0.0,0.002770083102493075,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01662049861495845,0.0,0.0,0.0,0.0,0.0332409972299169,0.0,0.38227146814404434
Ostern,0.0,0.04492753623188406,0.0,0.0,0.0,0.0014492753623188406,0.0,0.0,0.0,0.002173913043478261,0.17246376811594202,0.010869565217391304,0.007246376811594203,0.0,0.17971014492753623,0.008695652173913044,0.0,0.0,0.0,0.0007246376811594203,0.0,0.0007246376811594203,0.0007246376811594203,0.0,0.0014492753623188406,0.0,0.002173913043478261,0.02826086956521739,0.0036231884057971015,0.004347826086956522,0.002173913043478261,0.0,0.0,0.0,0.0007246376811594203,0.0007246376811594203,0.0,0.020289855072463767,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,0.0,0.0014492753623188406,0.0,0.0007246376811594203,0.002173913043478261,0.0007246376811594203,0.0,0.0,0.0,0.0,0.02681159420289855,0.0007246376811594203,0.0007246376811594203,0.0,0.0,0.0007246376811594203,0.0,0.0007246376811594203,0.0,0.0007246376811594203,0.0007246376811594203,0.0,0.0,0.0,0.0014492753623188406,0.0007246376811594203,0.0,0.0007246376811594203,0.0,0.0,0.0007246376811594203,0.0,0.0,0.02608695652173913,0.0,0.0007246376811594203,0.0014492753623188406,0.0,0.031159420289855074,0.0,0.4028985507246377
Other,0.0,0.04206500956022945,0.0,0.0,0.0,0.0038240917782026767,0.0057361376673040155,0.0,0.0,0.0019120458891013384,0.13193116634799235,0.0057361376673040155,0.0057361376673040155,0.0,0.21032504780114722,0.015296367112810707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02676864244741874,0.0,0.0019120458891013384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03824091778202677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057361376673040155,0.0,0.0,0.0019120458891013384,0.0,0.0,0.0,0.0,0.0,0.0019120458891013384,0.0,0.0,0.0,0.0019120458891013384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019120458891013385,0.0,0.0,0.0,0.0,0.07265774378585087,0.0,0.40152963671128106
Pfingsten,0.0,0.04794520547945205,0.0,0.0,0.00228310502283105,0.0045662100456621,0.0,0.0,0.0,0.0,0.1598173515981735,0.00684931506849315,0.01141552511415525,0.00228310502283105,0.2648401826484018,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01598173515981735,0.0,0.00228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182648401826484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01598173515981735,0.0,0.0,0.0,0.00228310502283105,0.0,0.00228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,0.00228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.00228310502283105,0.0,0.02968036529680365,0.0,0.3858447488584475
