Saison,(grave),?,A,A?,As,B,C,D,E,E+e,Es,F,F?,G,G?,a,a/C,c,d,d?,e,f,g,g+G,h,h/D,h?,only B,senza acc
#Nv,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advent,0.0,0.0027624309392265192,0.019337016574585635,0.0,0.0,0.13259668508287292,0.1270718232044199,0.1464088397790055,0.0055248618784530384,0.0,0.019337016574585635,0.15193370165745856,0.0,0.143646408839779,0.0,0.04143646408839779,0.0,0.04143646408839779,0.049723756906077346,0.0,0.052486187845303865,0.0055248618784530384,0.049723756906077346,0.0027624309392265192,0.008287292817679558,0.0,0.0,0.0,0.0
Epiphanias,0.0,0.0,0.017241379310344827,0.0,0.0,0.14532019704433496,0.11330049261083744,0.19458128078817735,0.007389162561576354,0.0,0.009852216748768473,0.12561576354679804,0.0,0.1330049261083744,0.0,0.034482758620689655,0.0,0.03940886699507389,0.05665024630541872,0.0,0.03940886699507389,0.0024630541871921183,0.07635467980295567,0.0,0.0024630541871921183,0.0,0.0,0.0024630541871921183,0.0
Fastenzeit,0.0,0.002197802197802198,0.01098901098901099,0.0,0.0,0.13186813186813187,0.08131868131868132,0.17142857142857143,0.008791208791208791,0.0,0.02857142857142857,0.10329670329670329,0.0,0.18021978021978022,0.0,0.04395604395604396,0.0,0.04395604395604396,0.03956043956043956,0.0,0.06373626373626373,0.006593406593406593,0.07692307692307693,0.0,0.006593406593406593,0.0,0.0,0.0,0.0
Karwoche,0.0,0.00816326530612245,0.00816326530612245,0.0,0.0,0.12244897959183673,0.08979591836734693,0.15510204081632653,0.0163265306122449,0.0,0.036734693877551024,0.14285714285714285,0.0,0.11836734693877551,0.0,0.061224489795918366,0.0,0.06938775510204082,0.04081632653061224,0.0,0.0326530612244898,0.0,0.09795918367346938,0.0,0.0,0.0,0.0,0.0,0.0
Marienfeste,0.0,0.004484304932735426,0.013452914798206279,0.0,0.0,0.13452914798206278,0.08520179372197309,0.18834080717488788,0.013452914798206279,0.0,0.004484304932735426,0.14349775784753363,0.0,0.19730941704035873,0.0,0.04035874439461883,0.0,0.013452914798206279,0.04932735426008968,0.0,0.053811659192825115,0.004484304932735426,0.04932735426008968,0.0,0.004484304932735426,0.0,0.0,0.0,0.0
Ostern,0.0,0.0024242424242424242,0.019393939393939394,0.0012121212121212121,0.0,0.0993939393939394,0.09575757575757576,0.20363636363636364,0.006060606060606061,0.0,0.007272727272727273,0.12363636363636364,0.0,0.16242424242424242,0.0,0.03515151515151515,0.0,0.025454545454545455,0.07515151515151515,0.0,0.048484848484848485,0.0,0.08363636363636363,0.0,0.009696969696969697,0.0,0.0,0.0,0.0012121212121212121
Other,0.0,0.022364217252396165,0.025559105431309903,0.0,0.0,0.04472843450479233,0.17252396166134185,0.3226837060702875,0.0,0.0,0.006389776357827476,0.14057507987220447,0.003194888178913738,0.15654952076677317,0.0,0.02875399361022364,0.003194888178913738,0.003194888178913738,0.012779552715654952,0.0,0.01597444089456869,0.0,0.022364217252396165,0.0,0.012779552715654952,0.003194888178913738,0.003194888178913738,0.0,0.0
Pfingsten,0.0,0.0,0.02973977695167286,0.0,0.0,0.08921933085501858,0.12639405204460966,0.21189591078066913,0.022304832713754646,0.0,0.011152416356877323,0.12267657992565056,0.0037174721189591076,0.17100371747211895,0.0,0.022304832713754646,0.0,0.01858736059479554,0.03345724907063197,0.0,0.03345724907063197,0.0,0.10037174721189591,0.0,0.0037174721189591076,0.0,0.0,0.0,0.0
Trinitatis,0.0004610419548178884,0.0018441678192715537,0.021668971876440755,0.0,0.0018441678192715537,0.14153988012909174,0.09220839096357769,0.1512217611802674,0.006915629322268326,0.0004610419548178884,0.015675426463808206,0.13231904103273398,0.0,0.13047487321346243,0.0004610419548178884,0.03642231443061319,0.0,0.056708160442600276,0.054402950668510835,0.0004610419548178884,0.04702627939142462,0.003227293683725219,0.10050714615029968,0.0,0.004149377593360996,0.0,0.0,0.0,0.0
Vorfastenzeit,0.0,0.0035460992907801418,0.014184397163120567,0.0,0.0,0.12411347517730496,0.12411347517730496,0.12056737588652482,0.0,0.0,0.02127659574468085,0.12411347517730496,0.0,0.14184397163120568,0.0,0.08156028368794327,0.0,0.06028368794326241,0.0673758865248227,0.0,0.028368794326241134,0.0,0.08156028368794327,0.0,0.0070921985815602835,0.0,0.0,0.0,0.0
Weihnachtszeit,0.0,0.0,0.019390581717451522,0.0,0.0,0.05817174515235457,0.1329639889196676,0.26038781163434904,0.008310249307479225,0.0,0.002770083102493075,0.12465373961218837,0.0,0.20221606648199447,0.0,0.05263157894736842,0.0,0.0110803324099723,0.0443213296398892,0.0,0.019390581717451522,0.002770083102493075,0.04155124653739612,0.0,0.01662049861495845,0.002770083102493075,0.0,0.0,0.0
