Typ,count,percent
coro > rec > aria > rec > aria > rec > choral,203,14.38
dictum > rec > aria > rec > aria > rec > choral,92,6.52
choral > rec > aria > rec > aria > rec > choral,61,4.32
acc > rec > aria > rec > aria > rec > choral,57,4.04
coro > rec > aria > rec > aria > choral,33,2.34
acc > aria > rec > aria > rec > choral,31,2.2
coro > rec > aria > choral > rec > aria > rec > choral,30,2.12
choral > rec > aria > rec > aria > choral,30,2.12
aria > rec > aria > rec > aria,26,1.84
dictum > rec > aria > rec > aria > choral,24,1.7
coro > aria > rec > aria > rec > choral,21,1.49
coro > rec > aria > rec > aria > acc > choral,18,1.27
aria > rec > choral > rec > aria > rec > choral,18,1.27
coro > rec > choral > rec > aria > rec > choral,17,1.2
acc > aria > choral > rec > aria > rec > choral,15,1.06
coro > aria > rec > choral > aria > rec > choral,13,0.92
acc > rec > aria > rec > aria > choral,13,0.92
dictum > rec > aria > choral > rec > aria > rec > choral,12,0.85
aria > rec > aria > rec > aria > rec > aria,9,0.64
acc > aria > rec > aria > choral,9,0.64
dictum > rec > aria > rec > aria > acc > choral,8,0.57
coro > rec > aria > choral > rec > aria > choral,7,0.5
dictum > rec > aria > choral > rec > aria > choral,7,0.5
aria > rec > choral > aria > rec > choral,7,0.5
choral > rec > aria > rec > aria > acc > choral,7,0.5
coro > rec > aria > choral > rec > aria > rec > coro,6,0.42
coro > rec > aria > choral > rec > aria > acc > choral,6,0.42
coro > aria > rec > aria > choral,6,0.42
acc > rec > aria > rec > aria > acc > choral,6,0.42
coro > acc > aria > acc > aria > acc > choral,6,0.42
aria > rec > aria,6,0.42
coro > rec > aria > rec > choral,5,0.35
coro > acc > aria > rec > aria > rec > choral,5,0.35
dictum > aria > rec > aria > rec > choral,5,0.35
choral > rec > aria > choral > rec > aria > choral,5,0.35
coro > rec > aria > rec > choral > aria > rec > choral,5,0.35
coro > rec > aria > rec > aria > rec > aria > choral,5,0.35
coro > rec > choral > aria > rec > choral,5,0.35
coro > aria > rec > choral > rec > aria > rec > choral,5,0.35
acc > rec > aria > choral > rec > aria > choral,5,0.35
choral > aria > rec > aria > rec > choral,5,0.35
acc > aria > rec > choral > aria > rec > choral,4,0.28
aria > rec > aria > rec > choral,4,0.28
dictum > aria > choral > rec > aria > rec > choral,4,0.28
coro > rec > aria > choral > aria > rec > choral,4,0.28
coro > rec > coro > rec > aria > rec > choral,4,0.28
coro > aria > rec > aria > rec > aria > rec > choral,4,0.28
aria > aria > aria,4,0.28
dictum > aria > rec > choral > aria > rec > choral,4,0.28
acc > aria > choral > rec > aria > acc > choral,4,0.28
acc > aria > rec > aria > acc > choral,4,0.28
coro > rec > arioso > rec > aria > rec > choral,4,0.28
acc > rec > aria > choral > rec > aria > rec > choral,4,0.28
coro > aria > rec > choral > rec > aria > choral,4,0.28
coro > rec > aria > rec > aria > rec > aria > rec > coro,4,0.28
coro > rec > aria > rec > coro > rec > choral,3,0.21
coro > rec > aria > coro > rec > aria > rec > choral,3,0.21
choral > rec > aria > rec > choral > aria > rec > choral,3,0.21
coro > rec > coro > rec > coro > rec > choral,3,0.21
coro > aria > choral > rec > aria > choral,3,0.21
acc > coro > aria > rec > aria > rec > choral,3,0.21
coro > rec > choral > rec > aria > choral,3,0.21
acc > aria > choral > rec > aria > choral,3,0.21
acc > aria > rec > aria > rec > aria,3,0.21
coro > acc > aria > acc > aria > rec > choral,3,0.21
choral > acc > aria > acc > aria > acc > choral,3,0.21
coro > aria > coro > aria > coro,3,0.21
dictum > aria > rec > coro > aria > rec > choral,3,0.21
acc > aria > rec > choral > rec > aria > rec > choral,3,0.21
aria > rec > aria > rec > aria > rec > choral,3,0.21
coro > rec > aria > rec > aria > rec > aria > rec > choral,3,0.21
coro > rec > dictum > rec > aria > rec > choral,3,0.21
choral > rec > aria > rec > aria > rec > coro,3,0.21
,2,0.14
choral > aria > choral,2,0.14
choral > rec > aria > choral > aria > rec > choral,2,0.14
coro > rec > choral > rec > aria > acc > choral,2,0.14
coro > rec > coro > aria > rec > aria > rec > choral,2,0.14
acc > rec > aria > rec > choral > aria > rec > choral,2,0.14
